Model,Cost Time /s,Platform
MobileNet V1,0.001955550474425157,GPU
MobileNet V1,0.0019511961067716279,GPU
MobileNet V1,0.0020041306192676227,GPU
MobileNet V1,0.0019566360861063004,GPU
MobileNet V1,0.001892362783352534,GPU
MobileNet V1,0.0019157002369562786,GPU
MobileNet V1,0.001731134702761968,GPU
MobileNet V1,0.0018895899256070453,GPU
MobileNet V1,0.0019559177259604135,GPU
MobileNet V1,0.00195467093338569,GPU
MobileNet V1,0.0017840505888064703,GPU
MobileNet V1,0.0019050142417351406,GPU
MobileNet V1,0.0019131272410353025,GPU
MobileNet V1,0.0019410862276951473,GPU
MobileNet V1,0.001796546826759974,GPU
MobileNet V1,0.0019277425482869149,GPU
MobileNet V1,0.001948560712238153,GPU
MobileNet V1,0.0019145814081033073,GPU
MobileNet V1,0.0017805340389410653,GPU
MobileNet V1,0.0019105087344845138,GPU
MobileNet V1,0.001916820245484511,GPU
MobileNet V1,0.0018862058718999229,GPU
MobileNet V1,0.0018099050348003706,GPU
MobileNet V1,0.0019510895634690922,GPU
MobileNet V1,0.001928806925813357,GPU
MobileNet V1,0.0019457786033550896,GPU
MobileNet V1,0.0018149938434362412,GPU
MobileNet V1,0.0019814055413007736,GPU
MobileNet V1,0.0020120694612463315,GPU
MobileNet V1,0.0019145109380284946,GPU
MobileNet V2,0.002124004438519478,GPU
MobileNet V2,0.0027703659608960154,GPU
MobileNet V2,0.002671318935851256,GPU
MobileNet V2,0.0024041157215833665,GPU
MobileNet V2,0.0026740780100226406,GPU
MobileNet V2,0.0026045764485994973,GPU
MobileNet V2,0.0024615972613294917,GPU
MobileNet V2,0.0027203648040692013,GPU
MobileNet V2,0.0026181090002258614,GPU
MobileNet V2,0.002548176795244217,GPU
MobileNet V2,0.0027844148377577462,GPU
MobileNet V2,0.002669120952486992,GPU
MobileNet V2,0.0024079785371820127,GPU
MobileNet V2,0.0026276954760154087,GPU
MobileNet V2,0.00264885767052571,GPU
MobileNet V2,0.0025675625850756965,GPU
MobileNet V2,0.0026461313168207805,GPU
MobileNet V2,0.002751643148561319,GPU
MobileNet V2,0.0025027875478068986,GPU
MobileNet V2,0.002660980448126793,GPU
MobileNet V2,0.002638113126158714,GPU
MobileNet V2,0.0025048708543181416,GPU
MobileNet V2,0.002710220155616601,GPU
MobileNet V2,0.002746497156719367,GPU
MobileNet V2,0.0024444754545887314,GPU
MobileNet V2,0.0026500937218467396,GPU
MobileNet V2,0.002782196799914042,GPU
MobileNet V2,0.0024622936422626176,GPU
MobileNet V2,0.0026533600563804307,GPU
MobileNet V2,0.002594871260225773,GPU
